Player, Team, Pos, Salary, GP, MIN, REB, AST, STL, BLK, TO, PTS, USG, FPTS
Darrun Hilliard, DET, SG, 3500.00, 4, 45, 10, 4, 1, 0, 1, 19, 15.86, 9.5 
Myles Turner, IND, PF, 5400.00, 10, 249, 77, 13, 7, 14, 17, 93, 18.84, 22.99 
Joseph Young, IND, SG, 3500.00, 2, 6, 2, 1, 0, 0, 2, 0, 35.53, 0.95 
Frank Kaminsky, CHA, PF, 3500.00, 10, 204, 33, 6, 3, 5, 5, 64, 13.78, 12.36 
Mario Hezonja, ORL, SF, 3500.00, 10, 193, 21, 13, 10, 5, 17, 57, 14.82, 11.47 
Kelly Oubre, WAS, SF, 3500.00, 5, 10, 4, 1, 0, 0, 2, 15, 56.84, 3.86 
Justin Anderson, DAL, SF, 4000.00, 9, 175, 41, 10, 4, 8, 3, 52, 13.01, 15.24 
Pat Connaughton, POR, SG, 3500.00, 3, 9, 1, 0, 0, 0, 1, 0, 17.78, 0.07 
Cameron Payne, OKC, PG, 3500.00, 8, 82, 4, 7, 4, 0, 5, 25, 18.79, 5.41 
Larry Nance, LAL, PF, 3700.00, 6, 137, 31, 5, 6, 7, 2, 32, 12.97, 16.78 
D'Angelo Russell, LAL, PG, 5400.00, 9, 247, 29, 18, 8, 3, 26, 99, 26.37, 17.42 
Cliff Alexander, POR, PF, 3500.00, 1, 4, 0, 0, 0, 0, 0, 0, 0.00, 0.0 
Sasha Kaun, CLE, C, 3500.00, 3, 8, 2, 1, 1, 0, 0, 5, 16.05, 3.63 
Salah Mejri, DAL, C, 4100.00, 7, 127, 43, 5, 4, 14, 10, 36, 13.31, 17.3 
Luis Montero, POR, SF, 3500.00, 3, 9, 1, 0, 0, 0, 1, 1, 21.69, 0.4 
Josh Huestis, OKC, SF, 3500.00, 2, 19, 1, 0, 0, 1, 1, 8, 12.38, 5.1 
Marcelo Huertas, LAL, PG, 3500.00, 9, 178, 12, 40, 5, 0, 18, 55, 19.61, 13.49 
