Player, Team, Pos, Salary, GP, MIN, REB, AST, STL, BLK, TO, PTS, USG, FPTS
Steven Adams, OKC, C, 4600.00, 3, 81, 18, 4, 1, 3, 4, 24, 13.81, 18.53 
Andre Roberson, OKC, SG, 3500.00, 3, 66, 14, 2, 1, 0, 2, 14, 8.81, 11.27 
Solomon Hill, IND, SG, 3500.00, 3, 48, 9, 2, 2, 0, 3, 12, 12.58, 8.93 
Kentavious Caldwell-Pope, DET, SG, 5400.00, 3, 110, 8, 1, 0, 0, 3, 30, 12.06, 12.7 
Sergey Karasev, BKN, SF, 3500.00, 1, 19, 5, 6, 0, 0, 2, 2, 18.91, 15.0 
Dewayne Dedmon, ORL, C, 3700.00, 3, 37, 13, 1, 0, 0, 2, 20, 16.05, 11.7 
Willie Reed, BKN, PF, 3800.00, 2, 23, 12, 0, 0, 2, 0, 5, 13.70, 11.7 
Reggie Bullock, DET, SF, 3500.00, 1, 3, 0, 0, 0, 0, 0, 2, 13.33, 2.0 
Moe Harkless, POR, SF, 4400.00, 4, 115, 40, 4, 5, 2, 3, 58, 18.91, 30.75 
Allen Crabbe, POR, SG, 3500.00, 4, 101, 10, 4, 3, 2, 2, 28, 13.23, 13.5 
Shane Larkin, BKN, PG, 4500.00, 3, 95, 13, 22, 6, 0, 8, 24, 17.64, 25.53 
Otto Porter, WAS, SF, 5400.00, 3, 92, 16, 7, 1, 0, 3, 45, 15.68, 24.57 
Alexis Ajinca, NOP, C, 4300.00, 4, 100, 33, 1, 4, 5, 12, 54, 24.61, 25.27 
C.J. McCollum, POR, SG, 6900.00, 4, 141, 11, 20, 10, 1, 16, 89, 26.95, 34.55 
Nene Hilario, WAS, PF, 3900.00, 3, 57, 22, 4, 0, 1, 6, 31, 22.12, 19.8 
Sasha Vujacic, NYK, SG, 3700.00, 3, 72, 13, 5, 3, 1, 5, 33, 16.96, 19.7 
Dwight Powell, DAL, PF, 3500.00, 3, 20, 4, 1, 0, 0, 1, 2, 16.66, 2.43 
Marcus Smart, BOS, PG, 4300.00, 3, 82, 14, 16, 3, 1, 6, 20, 15.63, 20.93 
Markel Brown, BKN, SG, 3800.00, 3, 70, 10, 6, 4, 1, 6, 34, 23.85, 19.67 
Bojan Bogdanovic, BKN, SF, 4500.00, 1, 24, 5, 3, 0, 0, 4, 14, 31.25, 20.5 
Cleanthony Early, NYK, SF, 3500.00, 2, 40, 7, 4, 0, 1, 4, 9, 22.20, 10.7 
K.J. McDaniels, HOU, SF, 3500.00, 1, 17, 4, 1, 0, 0, 0, 10, 18.00, 16.3 
Spencer Dinwiddie, DET, PG, 3500.00, 1, 3, 1, 1, 1, 0, 2, 0, 57.73, 2.7 
Noah Vonleh, POR, PF, 3500.00, 4, 29, 10, 0, 2, 2, 2, 12, 12.08, 7.5 
James Ennis, NOP, SF, 3900.00, 4, 111, 15, 11, 4, 2, 6, 49, 19.38, 22.38 
Aaron Gordon, ORL, PF, 5700.00, 3, 78, 21, 6, 3, 2, 3, 34, 19.74, 25.07 
Elfrid Payton, ORL, PG, 5800.00, 3, 90, 15, 26, 1, 0, 6, 23, 19.07, 25.33 
Devyn Marble, ORL, SG, 3500.00, 1, 2, 0, 0, 0, 0, 0, 0, 0.00, 0.0 
J.J. Barea, DAL, PG, 5900.00, 3, 98, 11, 16, 1, 0, 6, 76, 30.35, 36.4 
Tarik Black, LAL, C, 3500.00, 2, 42, 9, 1, 2, 1, 0, 10, 9.61, 14.15 
Clint Capela, HOU, PF, 4200.00, 2, 40, 11, 0, 4, 4, 0, 17, 15.44, 23.1 
Jeff Ayres, LAC, PF, 3500.00, 3, 29, 6, 1, 0, 0, 1, 8, 8.57, 5.23 
Glenn Robinson, IND, SF, 3500.00, 1, 2, 0, 0, 0, 0, 1, 0, 20.00, -1.0 
C.J. Wilcox, LAC, SG, 3500.00, 3, 22, 0, 1, 2, 0, 1, 13, 24.60, 5.83 
Jordan Clarkson, LAL, SG, 5600.00, 3, 102, 12, 3, 6, 0, 3, 53, 22.46, 26.97 
Julius Randle, LAL, PF, 6600.00, 3, 98, 36, 9, 1, 1, 5, 37, 17.91, 30.9 
Langston Galloway, NYK, SG, 4000.00, 3, 77, 10, 16, 6, 1, 5, 30, 21.71, 25.0 
Tim Frazier, NOP, PG, 5000.00, 4, 125, 16, 37, 8, 0, 6, 59, 21.56, 35.92 
Jordan McRae, CLE, SG, 3500.00, 2, 11, 0, 1, 0, 0, 0, 2, 15.75, 1.75 
Sean Kilpatrick, BKN, SG, 3700.00, 3, 80, 8, 4, 0, 0, 6, 36, 23.60, 15.2 
Josh Smith, HOU, PF, 3500.00, 1, 6, 0, 0, 0, 0, 1, 5, 26.67, 4.0 
Terry Rozier, BOS, PG, 3600.00, 2, 37, 12, 3, 1, 0, 0, 7, 11.75, 13.95 
Chris McCullough, BKN, PF, 3800.00, 3, 61, 19, 1, 2, 1, 4, 18, 18.42, 14.77 
Rondae Hollis-Jefferson, BKN, SF, 3800.00, 2, 33, 4, 1, 2, 2, 1, 9, 18.15, 11.15 
Jerian Grant, NYK, PG, 3600.00, 3, 77, 8, 9, 4, 1, 2, 26, 18.04, 19.03 
Stanley Johnson, DET, SF, 3500.00, 3, 48, 8, 2, 2, 0, 2, 5, 17.22, 6.53 
Darrun Hilliard, DET, SG, 3500.00, 1, 14, 3, 1, 0, 0, 0, 8, 18.09, 13.1 
Myles Turner, IND, PF, 5400.00, 3, 80, 24, 5, 1, 3, 5, 28, 18.27, 22.43 
Joseph Young, IND, SG, 3500.00, 1, 2, 0, 0, 0, 0, 1, 0, 20.00, -1.0 
Frank Kaminsky, CHA, PF, 3500.00, 3, 70, 16, 2, 2, 3, 4, 22, 15.67, 16.73 
Mario Hezonja, ORL, SF, 3500.00, 3, 52, 5, 4, 2, 2, 6, 18, 15.54, 10.67 
Kelly Oubre, WAS, SF, 3500.00, 1, 3, 0, 0, 0, 0, 1, 4, 53.33, 3.0 
Justin Anderson, DAL, SF, 4000.00, 3, 83, 26, 3, 3, 3, 0, 20, 8.34, 22.57 
Pat Connaughton, POR, SG, 3500.00, 2, 5, 1, 0, 0, 0, 0, 0, 8.00, 0.6 
Cameron Payne, OKC, PG, 3500.00, 1, 6, 0, 0, 1, 0, 1, 6, 45.87, 7.0 
Larry Nance, LAL, PF, 3700.00, 2, 48, 11, 4, 1, 2, 0, 9, 11.83, 17.1 
D'Angelo Russell, LAL, PG, 5400.00, 3, 103, 16, 8, 2, 1, 12, 36, 26.13, 20.4 
Salah Mejri, DAL, C, 4100.00, 2, 43, 12, 1, 1, 4, 2, 6, 5.89, 14.95 
Luis Montero, POR, SF, 3500.00, 2, 5, 0, 0, 0, 0, 1, 0, 16.00, -0.5 
Marcelo Huertas, LAL, PG, 3500.00, 3, 70, 6, 13, 2, 0, 5, 21, 19.21, 15.57 
